Wavelength,Cristal_T,Vidrio_T,Acetato_T,Cristal_Abs,Vidrio_Abs,Acetato_R,Cristal_R,Vidrio_R,Acetato_Abs
2294.0,91.26977539,88.77367401,70.47172546,0.03967515379,0.05125361308,0.7429426312,0.3393655121,0.5187367797,0.1527806669
2293.0,91.26399994,88.77008057,70.21946716,0.03966488689,0.0512675941,0.7336542606,0.3538098335,0.507558465,0.153627336
2292.0,91.2687149,88.76213074,70.18466187,0.03970391676,0.05129756778,0.8279745579,0.3670976162,0.5439261198,0.1531614512
2291.0,91.28393555,88.7564621,70.4079895,0.03971245512,0.05131251365,0.7727903724,0.2607034147,0.5327115059,0.1510866582
2290.0,91.295578,88.75820923,70.86605835,0.03974660486,0.05133611336,0.6903036237,0.3388876319,0.4791202843,0.1478313655
2289.0,91.30329132,88.75292206,71.50113678,0.039756082,0.05135504901,0.7467634678,0.3628985286,0.5450146794,0.1437079459
2288.0,91.29618835,88.74989319,72.24265289,0.03977840766,0.05137258768,0.7531675696,0.3185892105,0.495601207,0.1392894536
2287.0,91.29024506,88.74763489,73.00367737,0.03979877383,0.051389575,0.7585501671,0.3427140713,0.5115461349,0.1351057142
2286.0,91.27511597,88.74246979,73.7203598,0.03981985524,0.05142075568,0.7624431252,0.3174131513,0.5016413331,0.1314641535
2285.0,91.2518158,88.73310089,74.25409698,0.03980756924,0.05144231766,0.7252340913,0.3528473079,0.5551741719,0.1290579289
2284.0,91.24651337,88.73313904,74.56033325,0.03976757079,0.05145283788,0.769600451,0.3304983974,0.5605536103,0.1280478686
2283.0,91.24866486,88.73119354,74.5787735,0.03976572677,0.05147084966,0.7884664536,0.3751048446,0.5669424534,0.1286926717
2282.0,91.26049042,88.72322845,74.33518219,0.03978334367,0.0514988862,0.8015589714,0.3488446176,0.621278882,0.1307284385
2281.0,91.27451324,88.7203598,73.86769867,0.03977077454,0.05152368918,0.7755262852,0.3924137056,0.5704141855,0.1338397413
2280.0,91.28739929,88.71240234,73.28111267,0.03984377161,0.0515479967,0.7876353264,0.3470211327,0.544585824,0.1373699307
2279.0,91.29743195,88.70993805,72.65557861,0.03988659009,0.05157837272,0.8266783953,0.3982937038,0.5448025465,0.1408163905
2278.0,91.29785156,88.71050262,72.13924408,0.03990747407,0.05159866065,0.837334156,0.4373904765,0.5801042318,0.1433808655
