cristal,,vidrio,,Acetato,,cristal,,Viodrio,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,
2286,91.27511597,2286,88.74246979,2286,73.7203598,2286,0.03981985524,2286,0.05142075568,
2285,91.2518158,2285,88.73310089,2285,74.25409698,2285,0.03980756924,2285,0.05144231766,
2284,91.24651337,2284,88.73313904,2284,74.56033325,2284,0.03976757079,2284,0.05145283788,
2283,91.24866486,2283,88.73119354,2283,74.5787735,2283,0.03976572677,2283,0.05147084966,
2282,91.26049042,2282,88.72322845,2282,74.33518219,2282,0.03978334367,2282,0.0514988862,
2281,91.27451324,2281,88.7203598,2281,73.86769867,2281,0.03977077454,2281,0.05152368918,
2280,91.28739929,2280,88.71240234,2280,73.28111267,2280,0.03984377161,2280,0.0515479967,
2279,91.29743195,2279,88.70993805,2279,72.65557861,2279,0.03988659009,2279,0.05157837272,
2278,91.29785156,2278,88.71050262,2278,72.13924408,2278,0.03990747407,2278,0.05159866065,
2277,91.2766571,2277,88.70502472,2277,71.86615753,2277,0.03991981968,2277,0.05162793025,
2276,91.25356293,2276,88.69961548,2276,71.92831421,2276,0.03990355879,2276,0.05163991079,
2275,91.22476196,2275,88.69167328,2275,72.35626984,2275,0.03986624628,2275,0.05165139958,
2274,91.21760559,2274,88.69013977,2274,73.16912842,2274,0.03986207396,2274,0.05166600645,
2273,91.23082733,2273,88.68772888,2273,74.30364227,2273,0.03986817598,2273,0.05169938877,
2272,91.2414856,2272,88.67204285,2272,75.6282959,2272,0.03986431658,2272,0.05172213539,
2271,91.27006531,2271,88.67169952,2271,77.01748657,2271,0.03988406435,2271,0.05173613131,
2270,91.29008484,2270,88.67436981,2270,78.29573059,2270,0.03990755975,2270,0.05175400898,
2269,91.29359436,2269,88.67093658,2269,79.22238159,2269,0.03997882083,2269,0.05177728087,
2268,91.27784729,2268,88.66861725,2268,79.79760742,2268,0.03999962658,2268,0.05177605525,
2267,91.25020599,2267,88.66096497,2267,79.91685486,2267,0.04001682624,2267,0.05181927606,
2266,91.22857666,2266,88.6537323,2266,79.60584259,2266,0.03999040276,2266,0.05183231458,
2265,91.2047348,2265,88.65398407,2265,78.89867401,2265,0.03995617479,2265,0.05182805657,
2264,91.20697021,2264,88.65364075,2264,77.98138428,2264,0.03991198912,2264,0.05185238272,
2263,91.22083282,2263,88.64987946,2263,77.07313538,2263,0.03990282118,2263,0.05183881894,
2262,91.24236298,2262,88.64461517,2262,76.29718781,2262,0.03996511549,2262,0.05189608037,
2261,91.26928711,2261,88.64414978,2261,75.84249878,2261,0.0399890691,2261,0.0519105196,
2260,91.28213501,2260,88.64253998,2260,75.83149719,2260,0.04005571455,2260,0.05193409324,
2259,91.2806015,2259,88.64186096,2259,76.32471466,2259,0.04004961252,2259,0.05189394951,
2258,91.26230621,2258,88.64050293,2258,77.3265686,2258,0.04006769508,2258,0.05190182477,
2257,91.22959137,2257,88.64080048,2257,78.74082184,2257,0.04005381465,2257,0.05191810429,
2256,91.20186615,2256,88.63815308,2256,80.33415985,2256,0.04003834352,2256,0.0519387871,
2255,91.19026947,2255,88.63835907,2255,81.98829651,2255,0.04001643136,2255,0.0519387871,
2254,91.197052,2254,88.6333847,2254,83.52397156,2254,0.03995833173,2254,0.05192784965,
2253,91.22386932,2253,88.63298035,2253,84.67357635,2253,0.0399736017,2253,0.051942233,
2252,91.25737,2252,88.63603973,2252,85.3238678,2252,0.03999942914,2252,0.05192875117,
2251,91.28567505,2251,88.63861847,2251,85.41291046,2251,0.04002085701,2251,0.05192992091,
2250,91.28852844,2250,88.63616943,2250,84.97297668,2250,0.04008773714,2250,0.0519448854,
2249,91.27436066,2249,88.63832092,2249,84.09812164,2249,0.04011814296,2249,0.05190935358,
2248,91.24275208,2248,88.63935852,2248,83.03302002,2248,0.04009151459,2248,0.05191719905,
2247,91.20425415,2247,88.63772583,2247,81.88412476,2247,0.04007459432,2247,0.05190649256,
2246,91.18860626,2246,88.64312744,2246,80.95381927,2246,0.04002105817,2246,0.05188957602,
2245,91.19197845,2245,88.65040588,2245,80.43251038,2245,0.0399867408,2245,0.05189237371,
2244,91.20514679,2244,88.64736176,2244,80.41971588,2244,0.03996860608,2244,0.05185664073,
2243,91.24635315,2243,88.65077209,2243,80.94137573,2243,0.03999358043,2243,0.05187589303,
2242,91.27315521,2242,88.65646362,2242,81.92789459,2242,0.04003414139,2242,0.05180627108,
2241,91.29457092,2241,88.65571594,2241,83.32001495,2241,0.0400618203,2241,0.051776696,
2240,91.28548431,2240,88.663414,2240,84.83346558,2240,0.04010048509,2240,0.05176785961,
2239,91.25493622,2239,88.67331696,2239,86.3102417,2239,0.04010363668,2239,0.05173143744,
2238,91.21429443,2238,88.67906189,2238,87.4276123,2238,0.04008447379,2238,0.05175062642,
2237,91.18832397,2237,88.68458557,2237,88.04542542,2237,0.04004708678,2237,0.05171309412,
2236,91.182724,2236,88.68690491,2236,88.07870483,2236,0.03997209668,2236,0.05165060982,
2235,91.20013428,2235,88.69298553,2235,87.5233078,2235,0.03996766731,2235,0.05164125189,
2234,91.23876953,2234,88.70578003,2234,86.44464111,2234,0.0399630703,2234,0.05158414319,
2233,91.27661896,2233,88.70935822,2233,84.97628021,2233,0.03999114037,2233,0.051542487,
2232,91.29898071,2232,88.72249603,2232,83.43828583,2232,0.04004845023,2232,0.05152176321,
2231,91.2995224,2231,88.73145294,2231,82.1256485,2231,0.04008061066,2231,0.05146688595,
